Unnamed: 0,name,level,primaryMuscles,instructions,id
0,3/4 Sit-Up,beginner,abdominals,Lie down on the floor and secure your feet. Your legs should be bent at the knees. Place your hands behind or to the side of your head. You will begin with your back on the ground. This will be your starting position. Flex your hips and spine to raise your torso toward your knees. At the top of the contraction your torso should be perpendicular to the ground. Reverse the motion going only ¾ of the way down. Repeat for the recommended amount of repetitions.,3_4_Sit-Up
7,Air Bike,beginner,abdominals,Lie flat on the floor with your lower back pressed to the ground. For this exercise you will need to put your hands beside your head. Be careful however to not strain with the neck as you perform it. Now lift your shoulders into the crunch position. Bring knees up to where they are perpendicular to the floor with your lower legs parallel to the floor. This will be your starting position. Now simultaneously slowly go through a cycle pedal motion kicking forward with the right leg and bringing in the knee of the left leg. Bring your right elbow close to your left knee by crunching to the side as you breathe out. Go back to the initial position as you breathe in. Crunch to the opposite side as you cycle your legs and bring closer your left elbow to your right knee and exhale. Continue alternating in this manner until all of the recommended repetitions for each side have been completed.,Air_Bike
9,Alternate Hammer Curl,beginner,biceps,Stand up with your torso upright and a dumbbell in each hand being held at arms length. The elbows should be close to the torso. The palms of the hands should be facing your torso. This will be your starting position. While holding the upper arm stationary curl the right weight forward while contracting the biceps as you breathe out. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move. Slowly begin to bring the dumbbells back to starting position as your breathe in. Repeat the movement with the left hand. This equals one repetition. Continue alternating in this manner for the recommended amount of repetitions.,Alternate_Hammer_Curl
10,Alternate Heel Touchers,beginner,abdominals,Lie on the floor with the knees bent and the feet on the floor around 18-24 inches apart. Your arms should be extended by your side. This will be your starting position. Crunch over your torso forward and up about 3-4 inches to the right side and touch your right heel as you hold the contraction for a second. Exhale while performing this movement. Now go back slowly to the starting position as you inhale. Now crunch over your torso forward and up around 3-4 inches to the left side and touch your left heel as you hold the contraction for a second. Exhale while performing this movement and then go back to the starting position as you inhale. Now that both heels have been touched that is considered 1 repetition. Continue alternating sides in this manner until all prescribed repetitions are done.,Alternate_Heel_Touchers
11,Alternate Incline Dumbbell Curl,beginner,biceps,Sit down on an incline bench with a dumbbell in each hand being held at arms length. Tip: Keep the elbows close to the torso.This will be your starting position. While holding the upper arm stationary curl the right weight forward while contracting the biceps as you breathe out. As you do so rotate the hand so that the palm is facing up. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move. Slowly begin to bring the dumbbell back to starting position as your breathe in. Repeat the movement with the left hand. This equals one repetition. Continue alternating in this manner for the recommended amount of repetitions.,Alternate_Incline_Dumbbell_Curl
44,Barbell Curl,beginner,biceps,Stand up with your torso upright while holding a barbell at a shoulder-width grip. The palm of your hands should be facing forward and the elbows should be close to the torso. This will be your starting position. While holding the upper arms stationary curl the weights forward while contracting the biceps as you breathe out. Tip: Only the forearms should move. Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second and squeeze the biceps hard. Slowly begin to bring the bar back to starting position as your breathe in. Repeat for the recommended amount of repetitions.,Barbell_Curl
45,Barbell Curls Lying Against An Incline,beginner,biceps,Lie against an incline bench with your arms holding a barbell and hanging down in a horizontal line. This will be your starting position. While keeping the upper arms stationary curl the weight up as high as you can while squeezing the biceps. Breathe out as you perform this portion of the movement. Tip: Only the forearms should move. Do not swing the arms. After a second contraction slowly go back to the starting position as you inhale. Tip: Make sure that you go all of the way down. Repeat for the recommended amount of repetitions.,Barbell_Curls_Lying_Against_An_Incline
61,Barbell Side Bend,beginner,abdominals,Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck). Your feet should be shoulder width apart. This will be your starting position. While keeping your back straight and your head up bend only at the waist to the right as far as possible. Breathe in as you bend to the side. Then hold for a second and come back up to the starting position as you exhale. Tip: Keep the rest of the body stationary. Now repeat the movement but bending to the left instead. Hold for a second and come back to the starting position. Repeat for the recommended amount of repetitions.,Barbell_Side_Bend
78,Bent-Knee Hip Raise,beginner,abdominals,Lay flat on the floor with your arms next to your sides. Now bend your knees at around a 75 degree angle and lift your feet off the floor by around 2 inches. Using your lower abs bring your knees in towards you as you maintain the 75 degree angle bend in your legs. Continue this movement until you raise your hips off of the floor by rolling your pelvis backward. Breathe out as you perform this portion of the movement. Tip: At the end of the movement your knees will be over your chest. Squeeze your abs at the top of the movement for a second and then return to the starting position slowly as you breathe in. Tip: Maintain a controlled motion at all times. Repeat for the recommended amount of repetitions.,Bent-Knee_Hip_Raise
96,Bosu Ball Cable Crunch With Side Bends,beginner,abdominals,Connect a standard handle to each arm of a cable machine and position them in the most downward position. Grab a Bosu Ball and position it in front and center of the cable machine. Lie down on the Bosu Ball with the small of your back arched around the ball. Your rear end should be close to the floor without touching it. With both hands reach back and grab the handle of each cable. With your feet positioned in a wide stance extend your arms straight out in front of you and in between your knees. Your hands should be at knee level. Keep your arms straight and in-line with the upward angle of the cable. Elevate your torso in a crunching motion without dropping or bending your arms. Maintain the rigid position with your arms. Slowly descend back to the starting position with your back arched around the Bosu Ball and your abdominals elongated. Repeat the same series of movements to failure. Once you reach failure keep your abs tight and raise your torso into plank position so your back is elevated off the Bosu Ball. Lower your arms down to your side; keep them straight. Start doing alternating side bends; reach for your heels! This finishing movement will focus on your obliques.,Bosu_Ball_Cable_Crunch_With_Side_Bends
98,Bottoms Up,beginner,abdominals,Begin by lying on your back on the ground. Your legs should be straight and your arms at your side. This will be your starting position. To perform the movement tuck the knees toward your chest by flexing the hips and knees. Following this extend your legs directly above you so that they are perpendicular to the ground. Rotate and elevate your pelvis to raise your glutes from the floor. After a brief pause return to the starting position.,Bottoms_Up
106,Butt-Ups,beginner,abdominals,"Begin a pushup position but with your elbows on the ground and resting on your forearms. Your arms should be bent at a 90 degree angle. Arch your back slightly out rather than keeping your back completely straight. ""Raise your glutes toward the ceiling squeezing your abs tightly to close the distance between your ribcage and hips. The end result will be that youll end up in a high bridge position. Exhale as you perform this portion of the movement."" ""Lower back down slowly to your starting position as you breathe in. Tip: Dont let your back sag downwards."" Repeat for the recommended amount of repetitions.",Butt-Ups
111,Cable Crunch,beginner,abdominals,Kneel below a high pulley that contains a rope attachment. Grasp cable rope attachment and lower the rope until your hands are placed next to your face. Flex your hips slightly and allow the weight to hyperextend the lower back. This will be your starting position. With the hips stationary flex the waist as you contract the abs so that the elbows travel towards the middle of the thighs. Exhale as you perform this portion of the movement and hold the contraction for a second. Slowly return to the starting position as you inhale. Tip: Make sure that you keep constant tension on the abs throughout the movement. Also do not choose a weight so heavy that the lower back handles the brunt of the work. Repeat for the recommended amount of repetitions.,Cable_Crunch
113,Cable Hammer Curls - Rope Attachment,beginner,biceps,Attach a rope attachment to a low pulley and stand facing the machine about 12 inches away from it. Grasp the rope with a neutral (palms-in) grip and stand straight up keeping the natural arch of the back and your torso stationary. Put your elbows in by your side and keep them there stationary during the entire movement. Tip: Only the forearms should move; not your upper arms. This will be your starting position. Using your biceps pull your arms up as you exhale until your biceps touch your forearms. Tip: Remember to keep the elbows in and your upper arms stationary. After a 1 second contraction where you squeeze your biceps slowly start to bring the weight back to the original position. Repeat for the recommended amount of repetitions.,Cable_Hammer_Curls_-_Rope_Attachment
119,Cable Judo Flip,beginner,abdominals,"Connect a rope attachment to a tower and move the cable to the lowest pulley position. Stand with your side to the cable with a wide stance and grab the rope with both hands. ""Twist your body away from the pulley as you bring the rope over your shoulder like youre performing a judo flip."" Shift your weight between your feet as you twist and crunch forward pulling the cable downward. Return to the starting position and repeat until failure. Then reposition and repeat the same series of movements on the opposite side.",Cable_Judo_Flip
122,Cable Preacher Curl,beginner,biceps,Place a preacher bench about 2 feet in front of a pulley machine. Attach a straight bar to the low pulley. Sit at the preacher bench with your elbow and upper arms firmly on top of the bench pad and have someone hand you the bar from the low pulley. Grab the bar and fully extend your arms on top of the preacher bench pad. This will be your starting position. Now start pilling the weight up towards your shoulders and squeeze the biceps hard at the top of the movement. Exhale as you perform this motion. Also hold for a second at the top. Now slowly lower the weight to the starting position. Repeat for the recommended amount of repetitions.,Cable_Preacher_Curl
124,Cable Reverse Crunch,beginner,abdominals,Connect an ankle strap attachment to a low pulley cable and position a mat on the floor in front of it. Sit down with your feet toward the pulley and attach the cable to your ankles. Lie down elevate your legs and bend your knees at a 90-degree angle. Your legs and the cable should be aligned. If not adjust the pulley up or down until they are. With your hands behind your head bring your knees inward to your torso and elevate your hips off the floor. Pause for a moment and in a slow and controlled manner drop your hips and bring your legs back to the starting 90-degree angle. You should still have tension on your abs in the resting position. Repeat the same movement to failure.,Cable_Reverse_Crunch
