username,date,day,exercise_name,level,primaryMuscles,instructions
PinaG,2024-05-31,Monday,Sit Squats,beginner,quadriceps,Stand with your feet shoulder width apart. This will be your starting position. Begin the movement by flexing your knees and hips sitting back with your hips. Continue until you have squatted a portion of the way down but are above parallel and quickly reverse the motion until you return to the starting position. Repeat for 5-10 repetitions.
PinaG,2024-05-31,Monday,Butt-Ups,beginner,abdominals,"Begin a pushup position but with your elbows on the ground and resting on your forearms. Your arms should be bent at a 90 degree angle. Arch your back slightly out rather than keeping your back completely straight. ""Raise your glutes toward the ceiling squeezing your abs tightly to close the distance between your ribcage and hips. The end result will be that youll end up in a high bridge position. Exhale as you perform this portion of the movement."" ""Lower back down slowly to your starting position as you breathe in. Tip: Dont let your back sag downwards."" Repeat for the recommended amount of repetitions."
PinaG,2024-05-31,Monday,Cable Judo Flip,beginner,abdominals,"Connect a rope attachment to a tower and move the cable to the lowest pulley position. Stand with your side to the cable with a wide stance and grab the rope with both hands. ""Twist your body away from the pulley as you bring the rope over your shoulder like youre performing a judo flip."" Shift your weight between your feet as you twist and crunch forward pulling the cable downward. Return to the starting position and repeat until failure. Then reposition and repeat the same series of movements on the opposite side."
PinaG,2024-05-31,Monday,"Walking, Treadmill",beginner,quadriceps,"To begin step onto the treadmill and select the desired option from the menu. Most treadmills have a manual setting or you can select a program to run. Typically you can enter your age and weight to estimate the amount of calories burned during exercise. Elevation can be adjusted to change the intensity of the workout. ""Treadmills offer convenience cardiovascular benefits and usually have less impact than walking outside. When walking you should move at a moderate to fast pace not a leisurely one. Being an activity of lower intensity walking doesnt burn as many calories as some other activities but still provides great benefit. A 150 lb person will burn about 175 calories walking 4 miles per hour for 30 minutes compared to 450 calories running twice as fast. Maintain proper posture as you walk and only hold onto the handles when necessary such as when dismounting or checking your heart rate."""
PinaG,2024-05-31,Monday,Landmine 180's,beginner,abdominals,Position a bar into a landmine or securely anchor it in a corner. Load the bar to an appropriate weight. Raise the bar from the floor taking it to shoulder height with both hands with your arms extended in front of you. Adopt a wide stance. This will be your starting position. Perform the movement by rotating the trunk and hips as you swing the weight all the way down to one side. Keep your arms extended throughout the exercise. Reverse the motion to swing the weight all the way to the opposite side. Continue alternating the movement until the set is complete.
PinaG,2024-06-01,Thursday,Side Standing Long Jump,beginner,quadriceps,Begin standing with your feet hip width apart in an athletic stance. Your head and chest should be up knees and hips slightly bent. This will be your starting position. Leaning to your right extend through your hips knees and ankles to jump into the air. Block with the arms to lead the movement jumping as far to your right as you can. Land facing the same direction with your feet hip width apart absorbing the impact through your lower body.
PinaG,2024-06-01,Thursday,Standing Hip Flexors,beginner,quadriceps,"Stand up straight with the spine vertical the left foot slightly in front of the right. ""Bend both knees and lift the back heel off the floor as you press the right hip forward. You cant get a thorough deep stretch in this position however because its hard to relax the hip flexor and stand on it at the same time. Switch sides."""
PinaG,2024-06-01,Thursday,Wind Sprints,beginner,abdominals,Hang from a pull-up bar using a pronated grip. Your arms and legs should be extended. This will be your starting position. Begin by quickly raising one knee as high as you can. Do not swing your body or your legs. 3 Immediately reverse the motion returning that leg to the starting position. Simultaneously raise the opposite knee as high as possible. Continue alternating between legs until the set is complete.
PinaG,2024-06-01,Thursday,Knee/Hip Raise On Parallel Bars,beginner,abdominals,Position your body on the vertical leg raise bench so that your forearms are resting on the pads next to the torso and holding on to the handles. Your arms will be bent at a 90 degree angle. The torso should be straight with the lower back pressed against the pad of the machine and the legs extended pointing towards the floor. This will be your starting position. Now as you breathe out lift your legs up as you keep them extended. Continue this movement until your legs are roughly parallel to the floor and then hold the contraction for a second. Tip: Do not use any momentum or swinging as you perform this exercise. Slowly go back to the starting position as you breathe in. Repeat for the recommended amount of repetitions.
PinaG,2024-06-01,Thursday,Mountain Climbers,beginner,quadriceps,Begin in a pushup position with your weight supported by your hands and toes. Flexing the knee and hip bring one leg until the knee is approximately under the hip. This will be your starting position. Explosively reverse the positions of your legs extending the bent leg until the leg is straight and supported by the toe and bringing the other foot up with the hip and knee flexed. Repeat in an alternating fashion for 20-30 seconds.
